Minutes,Time,energizer0,energizer1,energizer2
0,2021/12/15 14:03:04,1.229714,1.232131,1.231325
5,2021/12/15 14:08:04,1.484408,1.487631,1.485214
10,2021/12/15 14:13:04,1.473129,1.476351,1.473129
15,2021/12/15 14:18:04,1.461849,1.465878,1.461044
20,2021/12/15 14:23:04,1.453793,1.457821,1.459432
25,2021/12/15 14:28:04,1.444124,1.448153,1.444124
30,2021/12/15 14:33:04,1.435212,1.440046,1.43924
35,2021/12/15 14:38:04,1.426349,1.44493,1.430378
40,2021/12/15 14:43:04,1.419098,1.424738,1.416681
45,2021/12/15 14:48:04,1.415875,1.418292,1.41507
50,2021/12/15 14:53:04,1.407013,1.412653,1.406207
55,2021/12/15 14:58:04,1.405402,1.406207,1.401373
60,2021/12/15 15:03:04,1.393317,1.400568,1.396539
65,2021/12/15 15:08:04,1.387677,1.394122,1.390094
70,2021/12/15 15:13:04,1.386871,1.392511,1.38526
75,2021/12/15 15:18:04,1.380426,1.386871,1.381231
80,2021/12/15 15:23:04,1.381231,1.382843,1.378009
85,2021/12/15 15:28:04,1.364312,1.377203,1.37962
90,2021/12/15 15:33:04,1.36834,1.374786,1.369146
95,2021/12/15 15:38:04,1.369952,1.371563,1.366729
100,2021/12/15 15:43:04,1.361089,1.367535,1.365924
105,2021/12/15 15:48:04,1.357867,1.364312,1.360284
110,2021/12/15 15:53:04,1.354644,1.363506,1.357867
115,2021/12/15 15:58:04,1.351421,1.359478,1.353838
120,2021/12/15 16:03:04,1.34417,1.35545,1.351421
125,2021/12/15 16:08:04,1.348199,1.358672,1.349004
130,2021/12/15 16:13:04,1.34417,1.351421,1.345782
135,2021/12/15 16:18:04,1.321611,1.349004,1.34417
140,2021/12/15 16:23:04,1.339336,1.345782,1.339336
145,2021/12/15 16:28:04,1.328862,1.344976,1.343365
150,2021/12/15 16:33:04,1.336113,1.343365,1.336113
155,2021/12/15 16:38:04,1.332891,1.338531,1.336113
160,2021/12/15 16:43:04,1.331279,1.337725,1.334502
165,2021/12/15 16:48:04,1.329668,1.328057,1.328862
170,2021/12/15 16:53:04,1.324834,1.334502,1.329668
175,2021/12/15 16:58:04,1.321611,1.330474,1.32
180,2021/12/15 17:03:04,1.32564,1.329668,1.329668
185,2021/12/15 17:08:04,1.322417,1.328862,1.32564
190,2021/12/15 17:13:04,1.322417,1.328057,1.324028
195,2021/12/15 17:18:04,1.322417,1.32564,1.324834
200,2021/12/15 17:23:04,1.323223,1.324028,1.321611
205,2021/12/15 17:28:04,1.316777,1.324028,1.319194
210,2021/12/15 17:33:04,1.315972,1.322417,1.318389
215,2021/12/15 17:38:04,1.315166,1.330474,1.317583
220,2021/12/15 17:43:04,1.313555,1.319194,1.316777
225,2021/12/15 17:48:04,1.315972,1.321611,1.315166
230,2021/12/15 17:53:04,1.311943,1.318389,1.313555
235,2021/12/15 17:58:04,1.311138,1.317583,1.312749
240,2021/12/15 18:03:04,1.311943,1.32,1.311138
245,2021/12/15 18:08:04,1.309526,1.315972,1.311943
250,2021/12/15 18:13:04,1.310332,1.31436,1.309526
255,2021/12/15 18:18:04,1.306304,1.313555,1.309526
260,2021/12/15 18:23:04,1.305498,1.311943,1.312749
265,2021/12/15 18:28:04,1.303886,1.302275,1.311943
270,2021/12/15 18:33:04,1.303886,1.310332,1.305498
275,2021/12/15 18:38:04,1.303886,1.313555,1.305498
280,2021/12/15 18:43:04,1.300664,1.30872,1.306304
285,2021/12/15 18:48:04,1.299052,1.305498,1.303886
290,2021/12/15 18:53:04,1.299052,1.310332,1.300664
295,2021/12/15 18:58:04,1.299052,1.304692,1.299858
300,2021/12/15 19:03:04,1.297441,1.303886,1.299052
305,2021/12/15 19:08:04,1.299052,1.303081,1.298247
310,2021/12/15 19:13:04,1.298247,1.302275,1.296635
315,2021/12/15 19:18:04,1.293413,1.299052,1.29583
320,2021/12/15 19:23:04,1.292607,1.29019,1.294218
325,2021/12/15 19:28:04,1.292607,1.299052,1.295024
330,2021/12/15 19:33:04,1.296635,1.299052,1.293413
335,2021/12/15 19:38:04,1.290996,1.298247,1.293413
340,2021/12/15 19:43:04,1.29019,1.296635,1.290996
345,2021/12/15 19:48:04,1.29019,1.293413,1.283744
350,2021/12/15 19:53:04,1.280522,1.294218,1.29019
355,2021/12/15 19:58:04,1.290996,1.289384,1.289384
360,2021/12/15 20:03:04,1.279716,1.290996,1.291801
365,2021/12/15 20:08:04,1.286162,1.290996,1.292607
370,2021/12/15 20:13:04,1.28455,1.29019,1.278105
375,2021/12/15 20:18:04,1.282939,1.29019,1.285356
380,2021/12/15 20:23:04,1.296635,1.289384,1.287773
385,2021/12/15 20:28:04,1.283744,1.286967,1.283744
390,2021/12/15 20:33:04,1.282133,1.286162,1.282939
395,2021/12/15 20:38:04,1.283744,1.286162,1.286162
400,2021/12/15 20:43:04,1.27891,1.282939,1.281327
405,2021/12/15 20:48:04,1.27891,1.282939,1.27891
410,2021/12/15 20:53:04,1.270048,1.282939,1.283744
415,2021/12/15 20:58:04,1.27891,1.282939,1.274882
420,2021/12/15 21:03:04,1.281327,1.281327,1.278105
425,2021/12/15 21:08:04,1.275688,1.279716,1.276493
430,2021/12/15 21:13:04,1.276493,1.279716,1.276493
435,2021/12/15 21:18:04,1.266825,1.281327,1.274882
440,2021/12/15 21:23:04,1.274076,1.276493,1.273271
445,2021/12/15 21:28:04,1.272465,1.27891,1.273271
450,2021/12/15 21:33:04,1.274882,1.274076,1.274882
455,2021/12/15 21:38:04,1.273271,1.274076,1.271659
460,2021/12/15 21:43:04,1.270048,1.272465,1.270854
465,2021/12/15 21:48:04,1.268437,1.272465,1.270854
470,2021/12/15 21:53:04,1.270854,1.271659,1.270854
475,2021/12/15 21:58:04,1.268437,1.274882,1.261186
480,2021/12/15 22:03:04,1.266825,1.270048,1.268437
485,2021/12/15 22:08:04,1.267631,1.268437,1.266825
490,2021/12/15 22:13:04,1.266825,1.270048,1.270854
495,2021/12/15 22:18:04,1.257963,1.268437,1.266825
500,2021/12/15 22:23:04,1.26602,1.26602,1.270048
505,2021/12/15 22:28:04,1.265214,1.266825,1.264408
510,2021/12/15 22:33:04,1.263603,1.26602,1.264408
515,2021/12/15 22:38:04,1.261991,1.264408,1.261991
520,2021/12/15 22:43:04,1.261991,1.267631,1.26602
525,2021/12/15 22:48:04,1.26038,1.261991,1.261186
530,2021/12/15 22:53:04,1.26038,1.261186,1.259574
535,2021/12/15 22:58:04,1.258769,1.26038,1.258769
