Minutes,Time,duracell0,duracell1,duracell2
0,2021/12/19 11:34:56,1.544834,1.526303,1.539194
5,2021/12/19 11:39:56,1.530332,1.537583,1.529526
10,2021/12/19 11:44:56,1.519052,1.513413,1.524692
15,2021/12/19 11:49:56,1.512607,1.506162,1.511801
20,2021/12/19 11:54:56,1.502133,1.499716,1.508579
25,2021/12/19 11:59:56,1.493271,1.489242,1.496493
30,2021/12/19 12:04:56,1.487631,1.481186,1.486825
35,2021/12/19 12:09:56,1.479574,1.477963,1.472323
40,2021/12/19 12:14:56,1.468295,1.462655,1.467489
45,2021/12/19 12:19:56,1.461849,1.457015,1.464266
50,2021/12/19 12:24:56,1.455404,1.451375,1.461849
55,2021/12/19 12:29:56,1.45057,1.446541,1.453793
60,2021/12/19 12:34:56,1.445736,1.443268,1.453793
65,2021/12/19 12:39:56,1.434406,1.437629,1.44493
70,2021/12/19 12:44:56,1.438434,1.432795,1.440851
75,2021/12/19 12:49:56,1.431989,1.431989,1.437629
80,2021/12/19 12:54:56,1.428766,1.424738,1.431989
85,2021/12/19 12:59:56,1.431183,1.42071,1.428766
90,2021/12/19 13:04:56,1.422321,1.416681,1.42796
95,2021/12/19 13:09:56,1.418292,1.415875,1.424738
100,2021/12/19 13:14:56,1.41507,1.413458,1.419098
105,2021/12/19 13:19:56,1.411847,1.407819,1.41507
110,2021/12/19 13:24:56,1.40943,1.405402,1.413458
115,2021/12/19 13:29:56,1.399762,1.399762,1.408624
120,2021/12/19 13:34:56,1.402179,1.397345,1.407013
125,2021/12/19 13:39:56,1.401373,1.387677,1.407013
130,2021/12/19 13:44:56,1.398956,1.393317,1.400568
135,2021/12/19 13:49:56,1.394122,1.390094,1.398956
140,2021/12/19 13:54:56,1.392511,1.388482,1.395733
145,2021/12/19 13:59:56,1.390094,1.386065,1.395733
150,2021/12/19 14:04:56,1.389288,1.383648,1.391705
155,2021/12/19 14:09:56,1.386871,1.381231,1.388482
160,2021/12/19 14:14:56,1.384454,1.373175,1.386871
165,2021/12/19 14:19:56,1.382037,1.381231,1.384454
170,2021/12/19 14:24:56,1.380426,1.374786,1.383648
175,2021/12/19 14:29:56,1.378009,1.37398,1.381231
