Minutes,Time,amazon0,amazon1,amazon2
0,2021/12/21 16:30:01,1.486825,1.481186,1.489242
5,2021/12/21 16:35:01,1.477963,1.479574,1.484408
10,2021/12/21 16:40:01,1.468295,1.465072,1.473935
15,2021/12/21 16:45:01,1.458627,1.447347,1.4691
20,2021/12/21 16:50:01,1.448958,1.447347,1.457015
25,2021/12/21 16:55:01,1.440851,1.431183,1.447347
30,2021/12/21 17:00:01,1.4336,1.432795,1.441657
35,2021/12/21 17:05:01,1.42796,1.424738,1.436017
40,2021/12/21 17:10:01,1.42071,1.42071,1.428766
45,2021/12/21 17:15:01,1.41507,1.418292,1.423126
50,2021/12/21 17:20:01,1.411041,1.408624,1.40943
55,2021/12/21 17:25:01,1.407013,1.40379,1.412653
60,2021/12/21 17:30:01,1.402179,1.398956,1.407819
65,2021/12/21 17:35:01,1.398151,1.394122,1.405402
70,2021/12/21 17:40:01,1.397345,1.390094,1.401373
75,2021/12/21 17:45:01,1.390094,1.390899,1.395733
80,2021/12/21 17:50:01,1.386065,1.384454,1.388482
85,2021/12/21 17:55:01,1.382843,1.380426,1.390899
90,2021/12/21 18:00:01,1.37962,1.375592,1.387677
95,2021/12/21 18:05:01,1.376397,1.377203,1.384454
100,2021/12/21 18:10:01,1.373175,1.369952,1.381231
105,2021/12/21 18:15:01,1.374786,1.367535,1.378009
110,2021/12/21 18:20:01,1.369952,1.364312,1.374786
115,2021/12/21 18:25:01,1.357061,1.362701,1.373175
120,2021/12/21 18:30:01,1.362701,1.361089,1.369952
125,2021/12/21 18:35:01,1.353033,1.356255,1.369146
130,2021/12/21 18:40:01,1.34981,1.353838,1.365924
135,2021/12/21 18:45:01,1.35545,1.352227,1.363506
140,2021/12/21 18:50:01,1.347393,1.34981,1.361895
145,2021/12/21 18:55:01,1.350616,1.337725,1.361895
150,2021/12/21 19:00:01,1.348199,1.344976,1.357061
155,2021/12/21 19:05:01,1.348199,1.334502,1.354644
160,2021/12/21 19:10:01,1.335308,1.342559,1.352227
165,2021/12/21 19:15:01,1.343365,1.342559,1.349004
170,2021/12/21 19:20:01,1.332891,1.337725,1.348199
175,2021/12/21 19:25:01,1.338531,1.334502,1.344976
180,2021/12/21 19:30:01,1.329668,1.330474,1.34417
185,2021/12/21 19:35:01,1.335308,1.332085,1.34417
190,2021/12/21 19:40:01,1.332085,1.328862,1.340948
195,2021/12/21 19:45:01,1.332891,1.329668,1.339336
200,2021/12/21 19:50:01,1.330474,1.328057,1.337725
205,2021/12/21 19:55:01,1.330474,1.328057,1.337725
210,2021/12/21 20:00:01,1.332085,1.324834,1.336113
215,2021/12/21 20:05:01,1.328862,1.32564,1.332085
220,2021/12/21 20:10:01,1.316777,1.323223,1.332085
225,2021/12/21 20:15:01,1.326445,1.321611,1.331279
230,2021/12/21 20:20:01,1.313555,1.32,1.330474
235,2021/12/21 20:25:01,1.32,1.318389,1.328057
240,2021/12/21 20:30:01,1.32,1.317583,1.326445
245,2021/12/21 20:35:01,1.318389,1.315972,1.326445
250,2021/12/21 20:40:01,1.319194,1.315166,1.32564
255,2021/12/21 20:45:01,1.317583,1.318389,1.324028
260,2021/12/21 20:50:01,1.31436,1.311943,1.323223
265,2021/12/21 20:55:02,1.31436,1.316777,1.322417
270,2021/12/21 21:00:02,1.31436,1.311138,1.312749
275,2021/12/21 21:05:02,1.311138,1.309526,1.32
280,2021/12/21 21:10:02,1.311138,1.313555,1.319194
