Minutes,Time,safeway0,safeway1,safeway2
0,2021/12/25 12:07:48,1.47474,1.466683,1.47474
5,2021/12/25 12:12:48,1.468295,1.460238,1.470712
10,2021/12/25 12:17:48,1.460238,1.452181,1.462655
15,2021/12/25 12:22:48,1.451375,1.441657,1.457821
20,2021/12/25 12:27:48,1.441657,1.434406,1.445736
25,2021/12/25 12:32:48,1.434406,1.427155,1.437629
30,2021/12/25 12:37:48,1.431183,1.421515,1.431183
35,2021/12/25 12:42:48,1.422321,1.413458,1.425544
40,2021/12/25 12:47:48,1.407819,1.407819,1.419904
45,2021/12/25 12:52:48,1.408624,1.401373,1.418292
50,2021/12/25 12:57:48,1.405402,1.397345,1.407819
55,2021/12/25 13:02:48,1.397345,1.392511,1.405402
60,2021/12/25 13:07:48,1.394928,1.387677,1.399762
65,2021/12/25 13:12:48,1.384454,1.382843,1.398956
70,2021/12/25 13:17:48,1.387677,1.371563,1.393317
75,2021/12/25 13:22:48,1.382843,1.367535,1.392511
80,2021/12/25 13:27:48,1.380426,1.371563,1.375592
85,2021/12/25 13:32:48,1.375592,1.369146,1.382843
90,2021/12/25 13:37:48,1.371563,1.366729,1.378009
95,2021/12/25 13:42:48,1.361895,1.364312,1.374786
100,2021/12/25 13:47:48,1.366729,1.361089,1.373175
105,2021/12/25 13:52:48,1.363506,1.35545,1.36834
110,2021/12/25 13:57:48,1.361895,1.352227,1.366729
115,2021/12/25 14:02:48,1.357867,1.380426,1.364312
120,2021/12/25 14:07:48,1.354644,1.339336,1.360284
125,2021/12/25 14:12:48,1.354644,1.34417,1.358672
130,2021/12/25 14:17:48,1.353838,1.342559,1.35545
135,2021/12/25 14:22:48,1.348199,1.339336,1.354644
140,2021/12/25 14:27:48,1.345782,1.336919,1.353838
145,2021/12/25 14:32:48,1.343365,1.338531,1.337725
150,2021/12/25 14:37:48,1.341753,1.332085,1.346587
155,2021/12/25 14:42:48,1.342559,1.331279,1.34417
160,2021/12/25 14:47:48,1.336113,1.328862,1.342559
165,2021/12/25 14:52:48,1.334502,1.328057,1.340948
170,2021/12/25 14:57:48,1.324834,1.32564,1.338531
175,2021/12/25 15:02:48,1.331279,1.324834,1.329668
180,2021/12/25 15:07:48,1.331279,1.323223,1.335308
185,2021/12/25 15:12:48,1.328862,1.321611,1.324834
190,2021/12/25 15:17:48,1.328057,1.312749,1.331279
195,2021/12/25 15:22:48,1.32564,1.318389,1.330474
200,2021/12/25 15:27:48,1.317583,1.309526,1.328057
205,2021/12/25 15:32:48,1.324028,1.315166,1.328057
210,2021/12/25 15:37:48,1.320806,1.313555,1.326445
215,2021/12/25 15:42:48,1.323223,1.318389,1.326445
220,2021/12/25 15:47:48,1.32,1.313555,1.324834
225,2021/12/25 15:52:48,1.317583,1.311943,1.322417
230,2021/12/25 15:57:48,1.316777,1.310332,1.321611
235,2021/12/25 16:02:48,1.311138,1.310332,1.331279
240,2021/12/25 16:07:48,1.316777,1.307109,1.315972
245,2021/12/25 16:12:48,1.313555,1.294218,1.32
250,2021/12/25 16:17:48,1.31436,1.306304,1.318389
255,2021/12/25 16:22:48,1.311943,1.305498,1.319194
260,2021/12/25 16:27:48,1.349004,1.30872,1.316777
265,2021/12/25 16:32:48,1.303886,1.304692,1.32
270,2021/12/25 16:37:48,1.30872,1.29583,1.307109
275,2021/12/25 16:42:48,1.30872,1.299052,1.304692
280,2021/12/25 16:47:48,1.306304,1.29019,1.312749
285,2021/12/25 16:52:48,1.303886,1.297441,1.318389
290,2021/12/25 16:57:48,1.303886,1.299858,1.311943
295,2021/12/25 17:02:48,1.306304,1.294218,1.321611
300,2021/12/25 17:07:48,1.302275,1.29583,1.309526
305,2021/12/25 17:12:48,1.300664,1.293413,1.324028
310,2021/12/25 17:17:48,1.299858,1.291801,1.307109
315,2021/12/25 17:22:48,1.298247,1.291801,1.307109
320,2021/12/25 17:27:48,1.296635,1.290996,1.307109
325,2021/12/25 17:32:48,1.296635,1.287773,1.304692
330,2021/12/25 17:37:48,1.295024,1.288579,1.30872
335,2021/12/25 17:42:48,1.294218,1.286967,1.303886
340,2021/12/25 17:47:48,1.290996,1.285356,1.303081
