Minutes,Time,duracell,safeway,amazon
0,2021/12/11 15:09:22,1.577867,1.569004,1.536777
5,2021/12/11 15:14:22,1.567393,1.561753,1.527915
10,2021/12/11 15:19:22,1.554502,1.547251,1.52872
15,2021/12/11 15:24:22,1.54564,1.541611,1.513413
20,2021/12/11 15:29:22,1.535166,1.531137,1.514218
25,2021/12/11 15:34:22,1.526303,1.521469,1.506967
30,2021/12/11 15:39:22,1.519052,1.512607,1.498105
35,2021/12/11 15:44:22,1.512607,1.506967,1.493271
40,2021/12/11 15:49:22,1.472323,1.49891,1.490854
45,2021/12/11 15:54:22,1.466683,1.493271,1.487631
50,2021/12/11 15:59:22,1.460238,1.487631,1.483603
55,2021/12/11 16:04:22,1.457015,1.483603,1.503745
60,2021/12/11 16:09:22,1.452181,1.477157,1.472323
65,2021/12/11 16:14:22,1.448153,1.472323,1.467489
70,2021/12/11 16:19:23,1.445736,1.470712,1.458627
75,2021/12/11 16:24:23,1.440046,1.463461,1.442463
80,2021/12/11 16:29:23,1.421515,1.461044,1.452181
85,2021/12/11 16:34:23,1.416681,1.455404,1.447347
90,2021/12/11 16:39:23,1.435212,1.451375,1.444124
95,2021/12/11 16:44:23,1.434406,1.448153,1.441657
100,2021/12/11 16:49:23,1.431183,1.438434,1.438434
105,2021/12/11 16:54:23,1.42796,1.446541,1.437629
110,2021/12/11 16:59:23,1.425544,1.43924,1.434406
115,2021/12/11 17:04:23,1.42071,1.436017,1.431183
120,2021/12/11 17:09:23,1.411847,1.431989,1.42796
125,2021/12/11 17:14:23,1.41507,1.429572,1.427155
130,2021/12/11 17:19:23,1.411847,1.42796,1.423126
135,2021/12/11 17:24:23,1.411041,1.424738,1.419904
140,2021/12/11 17:29:23,1.411847,1.423126,1.419904
145,2021/12/11 17:34:23,1.406207,1.419904,1.406207
150,2021/12/11 17:39:23,1.405402,1.418292,1.412653
155,2021/12/11 17:44:23,1.402179,1.416681,1.411041
160,2021/12/11 17:49:23,1.400568,1.413458,1.408624
165,2021/12/11 17:54:23,1.397345,1.41507,1.407013
170,2021/12/11 17:59:23,1.394928,1.411847,1.406207
175,2021/12/11 18:04:23,1.393317,1.407819,1.394122
180,2021/12/11 18:09:23,1.392511,1.407013,1.399762
185,2021/12/11 18:14:23,1.390094,1.407013,1.398956
190,2021/12/11 18:19:23,1.390899,1.407013,1.397345
195,2021/12/11 18:24:23,1.386871,1.402179,1.399762
200,2021/12/11 18:29:23,1.386065,1.40379,1.394122
205,2021/12/11 18:34:23,1.382843,1.402985,1.394122
210,2021/12/11 18:39:23,1.382037,1.401373,1.389288
215,2021/12/11 18:44:23,1.381231,1.397345,1.387677
220,2021/12/11 18:49:23,1.380426,1.396539,1.386871
225,2021/12/11 18:54:23,1.378009,1.396539,1.386065
230,2021/12/11 18:59:23,1.376397,1.396539,1.38526
235,2021/12/11 19:04:23,1.369146,1.394122,1.381231
240,2021/12/11 19:09:23,1.370758,1.393317,1.380426
245,2021/12/11 19:14:23,1.373175,1.389288,1.383648
250,2021/12/11 19:19:23,1.37398,1.390094,1.378814
255,2021/12/11 19:24:23,1.369146,1.388482,1.377203
260,2021/12/11 19:29:23,1.36834,1.387677,1.377203
265,2021/12/11 19:34:23,1.367535,1.386065,1.375592
270,2021/12/11 19:39:23,1.367535,1.386065,1.373175
275,2021/12/11 19:44:23,1.365118,1.384454,1.373175
280,2021/12/11 19:49:23,1.364312,1.382037,1.370758
285,2021/12/11 19:54:23,1.364312,1.382843,1.370758
290,2021/12/11 19:59:23,1.361895,1.381231,1.361895
295,2021/12/11 20:04:23,1.361895,1.378009,1.369952
300,2021/12/11 20:09:23,1.358672,1.377203,1.369952
305,2021/12/11 20:14:23,1.357061,1.37962,1.364312
310,2021/12/11 20:19:23,1.356255,1.37398,1.366729
315,2021/12/11 20:24:23,1.357061,1.37398,1.366729
320,2021/12/11 20:29:23,1.357867,1.371563,1.363506
325,2021/12/11 20:34:23,1.353838,1.370758,1.357061
330,2021/12/11 20:39:23,1.353838,1.369952,1.361895
335,2021/12/11 20:44:23,1.34981,1.369952,1.362701
340,2021/12/11 20:49:23,1.34981,1.369952,1.361089
345,2021/12/11 20:54:23,1.34981,1.366729,1.357867
350,2021/12/11 20:59:23,1.34981,1.366729,1.354644
355,2021/12/11 21:04:23,1.348199,1.365924,1.357061
360,2021/12/11 21:09:23,1.345782,1.364312,1.356255
365,2021/12/11 21:14:23,1.344976,1.363506,1.354644
370,2021/12/11 21:19:23,1.344976,1.361895,1.353838
375,2021/12/11 21:24:23,1.343365,1.361089,1.353033
380,2021/12/11 21:29:23,1.341753,1.361089,1.352227
385,2021/12/11 21:34:23,1.341753,1.358672,1.350616
390,2021/12/11 21:39:23,1.341753,1.357061,1.34981
395,2021/12/11 21:44:23,1.338531,1.357061,1.349004
400,2021/12/11 21:49:23,1.337725,1.35545,1.348199
405,2021/12/11 21:54:23,1.336919,1.353033,1.348199
410,2021/12/11 21:59:23,1.337725,1.353838,1.345782
415,2021/12/11 22:04:23,1.334502,1.354644,1.344976
420,2021/12/11 22:09:23,1.332085,1.354644,1.345782
425,2021/12/11 22:14:23,1.331279,1.351421,1.343365
430,2021/12/11 22:19:23,1.334502,1.34981,1.345782
435,2021/12/11 22:24:23,1.328862,1.349004,1.341753
440,2021/12/11 22:29:23,1.331279,1.348199,1.340948
445,2021/12/11 22:34:23,1.328057,1.347393,1.338531
450,2021/12/11 22:39:23,1.326445,1.345782,1.338531
455,2021/12/11 22:44:23,1.32564,1.34417,1.338531
460,2021/12/11 22:49:23,1.329668,1.336919,1.337725
465,2021/12/11 22:54:23,1.32564,1.340948,1.335308
470,2021/12/11 22:59:23,1.323223,1.341753,1.335308
475,2021/12/11 23:04:23,1.321611,1.332085,1.332891
480,2021/12/11 23:09:23,1.319194,1.340948,1.333696
485,2021/12/11 23:14:23,1.319194,1.340948,1.334502
490,2021/12/11 23:19:23,1.319194,1.336919,1.332085
495,2021/12/11 23:24:23,1.310332,1.338531,1.331279
500,2021/12/11 23:29:23,1.316777,1.337725,1.330474
505,2021/12/11 23:34:23,1.315166,1.336113,1.329668
510,2021/12/11 23:39:23,1.315166,1.336113,1.332085
515,2021/12/11 23:44:23,1.313555,1.334502,1.328862
520,2021/12/11 23:49:23,1.31436,1.332891,1.326445
525,2021/12/11 23:54:23,1.311138,1.332085,1.328057
530,2021/12/11 23:59:23,1.311138,1.331279,1.328057
535,2021/12/12 00:04:23,1.310332,1.332085,1.324834
540,2021/12/12 00:09:23,1.311138,1.330474,1.336113
545,2021/12/12 00:14:23,1.311138,1.328057,1.321611
550,2021/12/12 00:19:23,1.300664,1.328057,1.321611
555,2021/12/12 00:24:23,1.306304,1.320806,1.322417
