Minutes,Time,duracell,energizer,amazon
0,2021/12/13 13:10:19,1.489242,1.543223,1.574644
5,2021/12/13 13:15:19,1.503745,1.531943,1.56417
10,2021/12/13 13:20:19,1.494076,1.523886,1.554502
15,2021/12/13 13:25:19,1.487631,1.519052,1.544028
20,2021/12/13 13:30:19,1.479574,1.508579,1.533555
25,2021/12/13 13:35:19,1.47474,1.503745,1.526303
30,2021/12/13 13:40:19,1.467489,1.496493,1.518247
35,2021/12/13 13:45:19,1.463461,1.490854,1.510996
40,2021/12/13 13:50:19,1.458627,1.483603,1.508579
45,2021/12/13 13:55:19,1.457015,1.473129,1.499716
50,2021/12/13 14:00:19,1.448958,1.47474,1.493271
55,2021/12/13 14:05:19,1.440046,1.468295,1.486825
60,2021/12/13 14:10:19,1.440851,1.465072,1.482797
65,2021/12/13 14:15:19,1.436017,1.463461,1.472323
70,2021/12/13 14:20:19,1.442463,1.458627,1.473129
75,2021/12/13 14:25:19,1.445736,1.453793,1.468295
80,2021/12/13 14:30:19,1.436017,1.451375,1.467489
85,2021/12/13 14:35:19,1.440046,1.448958,1.459432
90,2021/12/13 14:40:19,1.436017,1.444124,1.457821
95,2021/12/13 14:45:19,1.4336,1.440851,1.453793
100,2021/12/13 14:50:19,1.431183,1.438434,1.45057
105,2021/12/13 14:55:19,1.431183,1.435212,1.446541
110,2021/12/13 15:00:19,1.425544,1.431989,1.44493
115,2021/12/13 15:05:19,1.423126,1.429572,1.440851
120,2021/12/13 15:10:19,1.414264,1.427155,1.437629
125,2021/12/13 15:15:19,1.419098,1.424738,1.435212
130,2021/12/13 15:20:19,1.418292,1.424738,1.431989
135,2021/12/13 15:25:19,1.414264,1.42071,1.427155
140,2021/12/13 15:30:19,1.411041,1.419098,1.427155
145,2021/12/13 15:35:19,1.40943,1.417487,1.423126
150,2021/12/13 15:40:19,1.407013,1.414264,1.421515
155,2021/12/13 15:45:19,1.408624,1.413458,1.419904
160,2021/12/13 15:50:19,1.402985,1.413458,1.419904
165,2021/12/13 15:55:20,1.402179,1.412653,1.405402
170,2021/12/13 16:00:20,1.398956,1.408624,1.411847
175,2021/12/13 16:05:20,1.401373,1.407013,1.410236
180,2021/12/13 16:10:20,1.398956,1.406207,1.407013
185,2021/12/13 16:15:20,1.397345,1.404596,1.406207
190,2021/12/13 16:20:20,1.392511,1.405402,1.405402
195,2021/12/13 16:25:20,1.392511,1.402985,1.401373
200,2021/12/13 16:30:20,1.383648,1.406207,1.394122
205,2021/12/13 16:35:20,1.387677,1.402985,1.398956
210,2021/12/13 16:40:20,1.386871,1.394928,1.396539
215,2021/12/13 16:45:20,1.37962,1.398956,1.395733
220,2021/12/13 16:50:20,1.38526,1.396539,1.397345
225,2021/12/13 16:55:20,1.383648,1.396539,1.392511
230,2021/12/13 17:00:20,1.381231,1.360284,1.390899
235,2021/12/13 17:05:20,1.38526,1.392511,1.389288
240,2021/12/13 17:10:20,1.381231,1.392511,1.386871
245,2021/12/13 17:15:20,1.378814,1.390094,1.386065
250,2021/12/13 17:20:20,1.376397,1.389288,1.389288
255,2021/12/13 17:25:20,1.376397,1.389288,1.382843
260,2021/12/13 17:30:20,1.378009,1.387677,1.382037
265,2021/12/13 17:35:20,1.37398,1.387677,1.382843
270,2021/12/13 17:40:20,1.375592,1.386065,1.37962
275,2021/12/13 17:45:20,1.374786,1.383648,1.363506
280,2021/12/13 17:50:20,1.365118,1.382843,1.375592
285,2021/12/13 17:55:20,1.369146,1.386871,1.37962
290,2021/12/13 18:00:20,1.371563,1.382037,1.365924
295,2021/12/13 18:05:20,1.36834,1.382843,1.374786
300,2021/12/13 18:10:20,1.367535,1.382843,1.375592
305,2021/12/13 18:15:20,1.377203,1.378009,1.370758
310,2021/12/13 18:20:20,1.364312,1.377203,1.369952
315,2021/12/13 18:25:20,1.363506,1.377203,1.36834
320,2021/12/13 18:30:20,1.362701,1.377203,1.367535
325,2021/12/13 18:35:20,1.362701,1.374786,1.367535
330,2021/12/13 18:40:20,1.358672,1.37398,1.364312
335,2021/12/13 18:45:20,1.357867,1.377203,1.363506
340,2021/12/13 18:50:20,1.361089,1.373175,1.362701
345,2021/12/13 18:55:20,1.357061,1.369952,1.360284
350,2021/12/13 19:00:20,1.35545,1.369952,1.358672
355,2021/12/13 19:05:20,1.35545,1.37398,1.357867
360,2021/12/13 19:10:20,1.356255,1.36834,1.357867
365,2021/12/13 19:15:20,1.344976,1.36834,1.357061
370,2021/12/13 19:20:20,1.344976,1.366729,1.356255
375,2021/12/13 19:25:20,1.351421,1.366729,1.354644
380,2021/12/13 19:30:20,1.352227,1.365924,1.35545
385,2021/12/13 19:35:20,1.348199,1.365924,1.351421
390,2021/12/13 19:40:20,1.347393,1.354644,1.351421
395,2021/12/13 19:45:20,1.348199,1.361895,1.34981
400,2021/12/13 19:50:20,1.345782,1.361895,1.348199
405,2021/12/13 19:55:20,1.345782,1.362701,1.349004
410,2021/12/13 20:00:20,1.344976,1.357867,1.347393
415,2021/12/13 20:05:20,1.343365,1.359478,1.345782
420,2021/12/13 20:10:20,1.344976,1.357061,1.344976
