Minutes,Time,safeway0,safeway1,safeway2
0,2021/12/17 14:19:08,1.544834,1.540806,1.537583
5,2021/12/17 14:24:08,1.533555,1.52872,1.529526
10,2021/12/17 14:29:08,1.522275,1.519052,1.519858
15,2021/12/17 14:34:08,1.512607,1.512607,1.511801
20,2021/12/17 14:39:08,1.50455,1.500522,1.503745
25,2021/12/17 14:44:08,1.497299,1.492465,1.495688
30,2021/12/17 14:49:08,1.490854,1.485214,1.48602
35,2021/12/17 14:54:08,1.494076,1.481186,1.48038
40,2021/12/17 14:59:08,1.468295,1.472323,1.473935
45,2021/12/17 15:04:08,1.469906,1.465878,1.468295
50,2021/12/17 15:09:08,1.461849,1.460238,1.465878
55,2021/12/17 15:14:08,1.459432,1.454598,1.457821
60,2021/12/17 15:19:08,1.455404,1.45057,1.452987
65,2021/12/17 15:24:08,1.448153,1.44493,1.45057
70,2021/12/17 15:29:08,1.443268,1.444124,1.443268
75,2021/12/17 15:34:08,1.440046,1.436017,1.43924
80,2021/12/17 15:39:08,1.436017,1.432795,1.435212
85,2021/12/17 15:44:08,1.4336,1.42796,1.436017
90,2021/12/17 15:49:08,1.42796,1.425544,1.42796
95,2021/12/17 15:54:08,1.426349,1.42071,1.425544
100,2021/12/17 15:59:08,1.423126,1.418292,1.42071
105,2021/12/17 16:04:08,1.419098,1.413458,1.416681
110,2021/12/17 16:09:08,1.414264,1.411847,1.414264
115,2021/12/17 16:14:08,1.412653,1.411847,1.411847
120,2021/12/17 16:19:08,1.40943,1.404596,1.408624
125,2021/12/17 16:24:08,1.407013,1.401373,1.407013
130,2021/12/17 16:29:08,1.40379,1.399762,1.40379
135,2021/12/17 16:34:08,1.401373,1.390094,1.404596
140,2021/12/17 16:39:08,1.399762,1.394928,1.398956
145,2021/12/17 16:44:08,1.397345,1.398956,1.398956
150,2021/12/17 16:49:08,1.394122,1.390899,1.395733
155,2021/12/17 16:54:08,1.394122,1.388482,1.393317
160,2021/12/17 16:59:08,1.392511,1.387677,1.390899
165,2021/12/17 17:04:08,1.392511,1.377203,1.390094
170,2021/12/17 17:09:08,1.387677,1.386065,1.389288
175,2021/12/17 17:14:08,1.386871,1.381231,1.386871
180,2021/12/17 17:19:08,1.378009,1.382037,1.386065
